x, y, theta, stamp, 
1.3727518320083618, 0.8012608289718628, -0.014468344859778881, 1709259513716652685, 
1.3871186971664429, 0.8011442422866821, -0.005966498050838709, 1709259513826792224, 
1.3996754884719849, 0.8013020753860474, 0.0007950598374009132, 1709259513926630275, 
1.4118725061416626, 0.8015959858894348, 0.006502209696918726, 1709259514016709707, 
1.4252760410308838, 0.8020333051681519, 0.01333181094378233, 1709259514116979296, 
1.4396624565124512, 0.8028449416160583, 0.02045285888016224, 1709259514226753539, 
1.4514966011047363, 0.8035356402397156, 0.026626629754900932, 1709259514326632123, 
1.4617875814437866, 0.8041712045669556, 0.03220653533935547, 1709259514417690531, 
1.4742249250411987, 0.8052124977111816, 0.03798028454184532, 1709259514516663301, 
1.487441062927246, 0.8065528273582458, 0.043421532958745956, 1709259514626670272, 
1.498306393623352, 0.8078375458717346, 0.04823428392410278, 1709259514726636547, 
1.5077486038208008, 0.8090755939483643, 0.05278904363512993, 1709259514817733387, 
1.5188579559326172, 0.8105179071426392, 0.05745157599449158, 1709259514916661708, 
1.5304945707321167, 0.8120704889297485, 0.061667416244745255, 1709259515027125718, 
1.5407969951629639, 0.8135561347007751, 0.06724855303764343, 1709259515127673782, 
1.5497008562088013, 0.8148965239524841, 0.0710245817899704, 1709259515217739096, 
1.5596222877502441, 0.8162289261817932, 0.07463427633047104, 1709259515316891283, 
1.5713810920715332, 0.8181055784225464, 0.07691925019025803, 1709259515426769232, 
1.5798105001449585, 0.8193923830986023, 0.08141835033893585, 1709259515526641157, 
1.5877447128295898, 0.8210432529449463, 0.08431455492973328, 1709259515617740735, 
1.5968449115753174, 0.8224673867225647, 0.08596046268939972, 1709259515716653070, 
1.6067653894424438, 0.8241665959358215, 0.08757981657981873, 1709259515827009572, 
1.6151506900787354, 0.8259032368659973, 0.0874883309006691, 1709259515926636200, 
1.622300386428833, 0.8274059891700745, 0.09070053696632385, 1709259516017741458, 
